weeks,Country,City,account_manager_name,business_segment,spend_objective,brand_name,provider_id,vendor_id,vendor_name,bolt_spend,provider_spend
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Enterprise,provider_campaign_marketing,KFC GEORGIA,150068,111675,KFC GEORGIA Tbilisi,0.0,142.66
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Mid-market,bolt_plus_campaign,ALEXANDRIA,82097,55211,MBH Group LLC,317.68,0.0
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Mid-market,churn,ALEXANDRIA,82097,55211,MBH Group LLC,32.71,0.0
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Mid-market,provider_campaign_obligations_commitments,ALEXANDRIA,82097,55211,MBH Group LLC,185.3,185.3
2026-W17,GE,Tbilisi,Unassigned,SMB,bolt_plus_campaign,PLOVER BAR,76901,51398,I/E Aleksandr Markovich,28.72,0.0
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Mid-market,engagement,ALEXANDRIA,82097,55211,MBH Group LLC,49.21,0.0
2026-W17,GE,Tbilisi,Nino Shanshiashvili,Mid-market,engagement,BALANCE EXPRESS,166578,113874,BALANCE EXPRESS Tbilisi,1.74,0.0
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Mid-market,reactivation,ALEXANDRIA,82097,55211,MBH Group LLC,31.71,0.0
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Enterprise,engagement,KFC GEORGIA,150068,111675,KFC GEORGIA Tbilisi,16.49,0.0
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Enterprise,other,KFC GEORGIA,150068,111675,KFC GEORGIA Tbilisi,100.34,0.0
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Mid-market,acquisition,ALEXANDRIA,82097,55211,MBH Group LLC,10.5,0.0
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Enterprise,churn,KFC GEORGIA,150068,111675,KFC GEORGIA Tbilisi,15.58,0.0
2026-W17,GE,Tbilisi,Unassigned,SMB,sp_experiment,PLOVER BAR,76901,51398,I/E Aleksandr Markovich,29.25,87.76
2026-W17,GE,Tbilisi,Unassigned,SMB,bolt_plus_campaign,KIEVURI,75167,35305,Kievuri,22.0,0.0
2026-W17,GE,Tbilisi,Nino Shanshiashvili,Mid-market,acquisition,BALANCE EXPRESS,166578,113874,BALANCE EXPRESS Tbilisi,3.52,0.0
2026-W17,GE,Tbilisi,Unassigned,SMB,bolt_plus_campaign,SOUP KITCHEN,84666,57214,E/I Giorgi Putkaradze,12.8,0.0
2026-W17,GE,Tbilisi,Nino Shanshiashvili,Mid-market,bolt_plus_campaign,MINI DUBAI,94245,63110,LTD Halal Ali Baba Shawarma,40.96,0.0
2026-W17,GE,Tbilisi,Unassigned,SMB,reactivation,SOUP KITCHEN,84666,57214,E/I Giorgi Putkaradze,2.51,0.0
2026-W17,GE,Tbilisi,Nino Shanshiashvili,Mid-market,churn,IMPERI VAZISUBANI,157383,24738,LTD Fox,2.76,0.0
2026-W17,GE,Batumi,Nino Chakhvashvili,Enterprise,churn,MCDONALD'S,74834,50089,MC Batumi,48.18,0.0
2026-W17,GE,Tbilisi,Unassigned,SMB,sp_experiment,NUSHEBI,131649,96569,NUSHEBI Tbilisi,21.65,64.95
2026-W17,GE,Batumi,Nino Chakhvashvili,Enterprise,bolt_plus_campaign,MCDONALD'S,74834,50089,MC Batumi,54.96,0.0
2026-W17,GE,Batumi,Nino Chakhvashvili,Enterprise,reactivation,MCDONALD'S,74834,50089,MC Batumi,38.41,0.0
2026-W17,GE,Batumi,Nino Chakhvashvili,Enterprise,provider_campaign_obligations_commitments,MCDONALD'S,74834,50089,MC Batumi,344.08,0.0
2026-W17,GE,Tbilisi,Unassigned,SMB,bolt_plus_campaign,NUSHEBI,131649,96569,NUSHEBI Tbilisi,19.13,0.0
2026-W17,GE,Tbilisi,Unassigned,SMB,sp_reactivation,NUSHEBI,131649,96569,NUSHEBI Tbilisi,3.61,5.41
2026-W17,GE,Tbilisi,Mariam Gadelia,Mid-market,churn,SHAURMA CLUB,41103,28472,Shaurma Club,17.11,0.0
2026-W17,GE,Tbilisi,Mariam Gadelia,Mid-market,churn,SHAURMA CLUB,64959,28472,Shaurma Club,14.69,0.0
2026-W17,GE,Batumi,Nino Chakhvashvili,Enterprise,acquisition,MCDONALD'S,74834,50089,MC Batumi,50.61,0.0
2026-W17,GE,Tbilisi,Mariam Gadelia,Mid-market,activation,SHAURMA CLUB,41103,28472,Shaurma Club,8.57,0.0
2026-W17,GE,Tbilisi,Mariam Gadelia,Mid-market,engagement,SHAURMA CLUB,41103,28472,Shaurma Club,14.41,0.0
2026-W17,GE,Batumi,Nino Chakhvashvili,Enterprise,activation,MCDONALD'S,74834,50089,MC Batumi,5.26,0.0
2026-W17,GE,Tbilisi,Mariam Gadelia,Mid-market,engagement,SHAURMA CLUB,64959,28472,Shaurma Club,10.66,0.0
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Enterprise,bolt_plus_campaign,SUBWAY,128609,93954,SUBWAY GEORGIA Tbilisi,0.44,0.0
2026-W17,GE,Tbilisi,Unassigned,SMB,bolt_plus_campaign,BROTSEULEBI,140373,103763,BROTSEULEBI Tbilisi,2.11,0.0
2026-W17,GE,Batumi,Nutsa Kotiashvili,Mid-market,sp_reactivation,WHITE BATUMI 2,154716,34996,LTD Khoshneti,9.06,13.6
2026-W17,GE,Batumi,Nutsa Kotiashvili,Mid-market,sp_activation,WHITE BATUMI 2,154716,34996,LTD Khoshneti,3.64,5.47
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Enterprise,churn,SUBWAY,87716,10628,Subway Georgia 1,6.87,0.0
2026-W17,GE,Batumi,Nutsa Kotiashvili,Mid-market,sp_experiment,WHITE BATUMI 2,154716,34996,LTD Khoshneti,33.87,101.63
2026-W17,GE,Batumi,Nutsa Kotiashvili,Mid-market,sp_engagement,WHITE BATUMI 2,154716,34996,LTD Khoshneti,8.12,24.35
2026-W17,GE,Batumi,Nutsa Kotiashvili,Mid-market,bolt_plus_campaign,WHITE BATUMI 2,154716,34996,LTD Khoshneti,42.96,0.0
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Enterprise,bolt_plus_campaign,SUBWAY,87716,10628,Subway Georgia 1,6.18,0.0
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Enterprise,provider_campaign_marketing,SUBWAY,87716,10628,Subway Georgia 1,0.0,8.02
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Enterprise,provider_campaign_marketing,SUBWAY,128609,93954,SUBWAY GEORGIA Tbilisi,0.0,41.73
2026-W17,GE,Tbilisi,Unassigned,SMB,bolt_plus_campaign,HEALTHY KITCHEN,17332,12557,LTD Fresh Food Line ,9.43,0.0
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Enterprise,provider_campaign_obligations_commitments,MCDONALD'S,74827,50081,MC,363.3,0.0
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Enterprise,bolt_plus_campaign,MCDONALD'S,74827,50081,MC,121.96,0.0
2026-W17,GE,Tbilisi,Nino Shanshiashvili,Mid-market,sp_experiment,DIPSTRIP,142357,66468,I/E Lasha Qituashvili,27.55,82.65
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Enterprise,other,MCDONALD'S,74827,50081,MC,71.22,0.0
2026-W17,GE,Tbilisi,Unassigned,SMB,activation,HEALTHY KITCHEN,17332,12557,LTD Fresh Food Line ,5.58,0.0
2026-W17,GE,Tbilisi,Nino Shanshiashvili,Mid-market,bolt_plus_campaign,DIPSTRIP,142357,66468,I/E Lasha Qituashvili,26.03,0.0
2026-W17,GE,Tbilisi,Unassigned,SMB,bolt_plus_campaign,NEW ISTANBUL,46539,32227,Ltd New Istanbul,14.03,0.0
2026-W17,GE,Tbilisi,Unassigned,SMB,reactivation,HEALTHY KITCHEN,17332,12557,LTD Fresh Food Line ,4.42,0.0
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Enterprise,acquisition,MCDONALD'S,74827,50081,MC,11.12,0.0
2026-W17,GE,Batumi,Nutsa Kotiashvili,SMB,churn,MAMA PIZZA,25671,18277,Entrepreneur Irakli Tavdgiridze,1.52,0.0
2026-W17,GE,Tbilisi,Unassigned,SMB,provider_campaign_portal,FRESH BOX,170122,127086,Fresh Box,0.0,6.38
2026-W17,GE,Batumi,Nutsa Kotiashvili,SMB,bolt_plus_campaign,MAMA PIZZA,25671,18277,Entrepreneur Irakli Tavdgiridze,18.14,0.0
2026-W17,GE,Batumi,Nutsa Kotiashvili,SMB,provider_campaign_obligations_commitments,MAMA PIZZA,25671,18277,Entrepreneur Irakli Tavdgiridze,13.08,52.34
2026-W17,GE,Tbilisi,Mariam Gadelia,Mid-market,bolt_plus_campaign,MUGSY'S BURGER,14883,10803,Ltd Mugsy,96.26,0.0
2026-W17,GE,Tbilisi,Nino Shanshiashvili,Mid-market,reactivation,OISHI SUSHI,68591,17842,LTD Money Rolls,9.58,0.0
2026-W17,GE,Tbilisi,Nino Shanshiashvili,Mid-market,bolt_plus_campaign,OISHI SUSHI,68591,17842,LTD Money Rolls,6.53,0.0
2026-W17,GE,Tbilisi,Nino Shanshiashvili,Mid-market,engagement,OISHI SUSHI,68591,17842,LTD Money Rolls,3.28,0.0
2026-W17,GE,Tbilisi,Mariam Gadelia,Mid-market,bolt_plus_campaign,SPECTRA,32810,23045,Entrepreneur Ibrahim Muhamed Iamani  Abdelgavad,103.7,0.0
2026-W17,GE,Tbilisi,Mariam Gadelia,Mid-market,sp_reactivation,SPECTRA,32810,23045,Entrepreneur Ibrahim Muhamed Iamani  Abdelgavad,15.71,23.57
2026-W17,GE,Tbilisi,Mariam Gadelia,Mid-market,sp_experiment,SPECTRA,32810,23045,Entrepreneur Ibrahim Muhamed Iamani  Abdelgavad,82.91,248.71
2026-W17,GE,Tbilisi,Mariam Gadelia,Mid-market,acquisition,QUTE'S SHAURMA,120792,87232,LTD Qute 2022,9.02,0.0
2026-W17,GE,Tbilisi,Nino Chakhvashvili,Enterprise,bolt_plus_campaign,SUBWAY,163976,10628,Subway Georgia 1,3.92,0.0
2026-W17,GE,Tbilisi,Mariam Gadelia,Mid-market,sp_engagement,SPECTRA,32810,23045,Entrepreneur Ibrahim Muhamed Iamani  Abdelgavad,23.49,70.48
2026-W17,GE,Tbilisi,Unassigned,SMB,engagement,PAULANER FAN CLUB,12970,9387,Ltd MSR,9.32,0.0
2026-W17,GE,Tbilisi,Mariam Gadelia,Mid-market,bolt_plus_campaign,QUTE'S SHAURMA,120792,87232,LTD Qute 2022,37.11,0.0
2026-W17,GE,Tbilisi,Mariam Gadelia,Mid-market,acquisition,SPECTRA,32810,23045,Entrepreneur Ibrahim Muhamed Iamani  Abdelgavad,0.82,0.0
2026-W17,GE,Tbilisi,Nino Shanshiashvili,Mid-market,churn,NANAMI,70142,46995,Ltd Nanami,2.57,0.0
2026-W17,GE,Tbilisi,Nino Shanshiashvili,Mid-market,bolt_plus_campaign,NANAMI,70142,46995,Ltd Nanami,4.74,0.0
2026-W17,GE,Tbilisi,Unassigned,SMB,bolt_plus_campaign,TASTE OF INDIA,17179,12391,LTD taste of India,10.11,0.0
2026-W17,GE,Tbilisi,Unassigned,SMB,bolt_plus_campaign,SELEGINI,168369,125901,Selegini,3.97,0.0
