weeks,Country,City,account_manager_name,business_segment,spend_objective,brand_name,provider_id,vendor_id,vendor_name,bolt_spend,provider_spend
2026-W19,KE,Nairobi,Kevin Wawire,Mid-market,activation,PANDA TEA,122045,59809,&Swift Panda Drinks Catering Co Ltd,0.93,0.0
2026-W19,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_portal,MEZZA BURGERS,176741,34792,&Mezza Foods Limited,0.0,2.72
2026-W19,KE,Nairobi,Naomi Wambui Wanjohi,SMB,provider_campaign_portal,BUN BOX,176711,69281,BUN BOX Nairobi,0.0,88.84
2026-W19,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_exclusivity_retention,MEZZA BURGERS,176741,34792,&Mezza Foods Limited,8.28,38.46
2026-W17,KE,Nairobi,Naomi Wambui Wanjohi,SMB,provider_campaign_portal,BUN BOX,176711,69281,BUN BOX Nairobi,0.0,34.12
2026-W17,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_portal,MEZZA BURGERS,176741,34792,&Mezza Foods Limited,0.0,27.71
2026-W17,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_exclusivity_retention,MEZZA BURGERS,176741,34792,&Mezza Foods Limited,21.34,64.01
2026-W17,KE,Nairobi,Naomi Wambui Wanjohi,SMB,activation,BUN BOX,176711,69281,BUN BOX Nairobi,1.18,0.0
2026-W20,KE,Nairobi,Kevin Wawire,Mid-market,activation,PANDA TEA,122045,59809,&Swift Panda Drinks Catering Co Ltd,0.6,0.0
2026-W20,KE,Nairobi,Naomi Wambui Wanjohi,SMB,provider_campaign_portal,BUN BOX,176711,69281,BUN BOX Nairobi,0.0,39.16
2026-W20,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_portal,MEZZA BURGERS,176741,34792,&Mezza Foods Limited,0.0,1.56
2026-W20,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_exclusivity_retention,MEZZA BURGERS,176741,34792,&Mezza Foods Limited,0.0,21.35
2026-W20,KE,Nairobi,Naomi Wambui Wanjohi,SMB,provider_campaign_portal,SUSHI 2 GO,127422,92916,SUSHI 2 GO Nairobi,0.0,5.76
2026-W21,KE,Nairobi,Naomi Wambui Wanjohi,SMB,provider_campaign_portal,BUN BOX,176711,69281,BUN BOX Nairobi,0.0,45.77
2026-W21,KE,Nairobi,Naomi Wambui Wanjohi,SMB,sp_fully_funded,CLASSIQUE BURGER HOUSE,25826,18389,&Classique Burger House,0.0,3.02
2026-W21,KE,Nairobi,Naomi Wambui Wanjohi,SMB,sp_activation,CLASSIQUE BURGER HOUSE,25826,18389,&Classique Burger House,3.68,11.05
2026-W21,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_exclusivity_retention,MEZZA BURGERS,176741,34792,&Mezza Foods Limited,0.0,42.19
2026-W21,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_portal,MEZZA BURGERS,176741,34792,&Mezza Foods Limited,0.0,12.4
2026-W17,KE,Nairobi,Naomi Wambui Wanjohi,SMB,sp_reactivation,CLASSIQUE BURGER HOUSE,25826,18389,&Classique Burger House,2.65,7.96
2026-W17,KE,Nairobi,Naomi Wambui Wanjohi,SMB,sp_engagement,CLASSIQUE BURGER HOUSE,25826,18389,&Classique Burger House,1.02,3.07
2026-W17,KE,Nairobi,Naomi Wambui Wanjohi,SMB,sp_fully_funded,CLASSIQUE BURGER HOUSE,25826,18389,&Classique Burger House,0.0,3.75
2026-W17,KE,Nairobi,Kevin Wawire,Mid-market,activation,PANDA TEA,122045,59809,&Swift Panda Drinks Catering Co Ltd,1.07,0.0
2026-W17,KE,Nairobi,Naomi Wambui Wanjohi,SMB,activation,CLASSIQUE BURGER HOUSE,25826,18389,&Classique Burger House,1.72,0.0
2026-W17,KE,Nairobi,Sharon Chebet,SMB,activation,FARCHAI COMPANY LTD,147924,109985,MIXUE Nairobi,0.43,0.0
2026-W17,KE,Nairobi,Naomi Wambui Wanjohi,SMB,sp_activation,CLASSIQUE BURGER HOUSE,25826,18389,&Classique Burger House,1.0,3.01
2026-W19,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_exclusivity_retention,JAJEMELO PIZZA,76085,29060,&Jajemelo Pizza,134.47,134.47
2026-W19,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_gain,BURGER KING,42653,29546,&SIA QSR KENYA LTD,76.43,0.0
2026-W19,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_marketing,JAJEMELO PIZZA,76085,29060,&Jajemelo Pizza,0.0,215.76
2026-W19,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,BURGER KING,42653,29546,&SIA QSR KENYA LTD,0.0,35.35
2026-W19,KE,Nairobi,Kevin Wawire,Mid-market,activation,JAJEMELO PIZZA,76085,29060,&Jajemelo Pizza,17.16,0.0
